index,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,arm_sh0,arm_sh1,arm_el0,arm_el1,arm_wr0,arm_wr1,arm_f1x
198,0.11666665971279144,0.4000000059604645,0.30000001192092896,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,1.9770121574401855,-1.3079739809036255,2.04792857170105,-1.2884151935577393,1.8325999975204468,-0.7894222140312195,0.0
200,0.20555555820465088,-0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.7836387157440186,-0.6290904879570007,2.047025203704834,1.360355257987976,1.6029698848724365,0.14947447180747986,0.0
201,0.20555555820465088,-0.4000000059604645,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.783634901046753,-0.9157896637916565,2.152683734893799,1.3693886995315552,1.640080451965332,0.3268997371196747,0.0
202,0.20555555820465088,-0.4000000059604645,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.7836370468139648,-1.1765406131744385,2.1825573444366455,1.3902380466461182,1.6841020584106445,0.5545161962509155,0.0
203,0.20555555820465088,-0.4000000059604645,0.30000001192092896,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.7836352586746216,-1.3825781345367432,2.134006977081299,-1.7172772884368896,-1.7257641553878784,-2.3336143493652344,0.0
204,0.20555555820465088,-0.4000000059604645,0.4000000059604645,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.783634066581726,-1.5151033401489258,2.0111095905303955,-1.6732892990112305,-1.7576590776443481,-2.0764153003692627,0.0
205,0.20555555820465088,-0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.8418151140213013,-0.6970126032829285,2.296627998352051,1.2998844385147095,1.563088297843933,-0.02776714414358139,0.0
206,0.20555555820465088,-0.31111112236976624,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.8418165445327759,-1.0444259643554688,2.4173061847686768,1.304818034172058,1.6234594583511353,0.19086666405200958,0.0
207,0.20555555820465088,-0.31111112236976624,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.8418183326721191,-1.3739826679229736,2.4525082111358643,1.3306529521942139,1.6976702213287354,0.4769434630870819,0.0
208,0.20555555820465088,-0.31111112236976624,0.30000001192092896,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.841818928718567,-1.6284040212631226,2.3955624103546143,-1.7613168954849243,-1.7647408246994019,-2.356550693511963,0.0
209,0.20555555820465088,-0.31111112236976624,0.4000000059604645,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.8418141603469849,-1.7778714895248413,2.256744384765625,-1.698129415512085,-1.8106920719146729,-2.065032720565796,0.0
210,0.20555555820465088,-0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.941785216331482,-0.7147113680839539,2.5113611221313477,1.2084133625030518,1.4895222187042236,-0.21095767617225647,0.0
211,0.20555555820465088,-0.2222222238779068,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9417760372161865,-1.1538262367248535,2.658827543258667,1.20054292678833,1.5946338176727295,0.061336416751146317,0.0
212,0.20555555820465088,-0.2222222238779068,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9417812824249268,-1.6006258726119995,2.704418897628784,1.2364896535873413,1.734748363494873,0.4392779767513275,0.0
213,0.20555555820465088,-0.2222222238779068,0.30000001192092896,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.933395266532898,-1.9198064804077148,2.6315438747406006,1.3277568817138672,1.8325999975204468,0.8257926106452942,0.0
216,0.20555555820465088,-0.13333334028720856,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.1459944248199463,-1.2341710329055786,2.873770236968994,0.9966844320297241,1.533385157585144,-0.05776135250926018,0.0
217,0.20555555820465088,-0.13333334028720856,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.13436222076416,-1.896451711654663,2.9396278858184814,1.0710241794586182,1.8325999975204468,0.45780321955680847,0.0
231,0.20555555820465088,0.13333334028720856,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.14599871635437,-1.23417329788208,2.8737690448760986,-0.9966768622398376,1.5333895683288574,0.057752981781959534,0.0
232,0.20555555820465088,0.13333334028720856,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.1342575550079346,-1.89635169506073,2.939589262008667,-1.0710548162460327,1.8325999975204468,-0.4579010307788849,0.0
